#TIC,sectors,ra,dec,Tmag,Jmag,Hmag,Kmag,dist,Ms,Rs,Teff,P,T0,rp/Rs,rp,disposition
70899085;[5];64.19000;-12.08400;10.662;9.493;8.829;8.626;52.616;0.633;0.608;3796;4.051758;2458442.437109;0.07527;4.98;PC
415339577;[5];58.87840;11.31380;12.164;10.730;10.063;9.851;66.085;0.540;0.483;3486;nan;2458457.979819;nan;nan;ST
78740218;[6,7];103.11190;-22.31010;11.802;10.438;9.792;9.539;58.437;0.547;0.490;3448;2.560154;2458472.196834;0.07715;4.11;PC
238027971;[2,6,7,8,9];103.33130;-53.11940;10.432;9.195;8.554;8.318;38.664;0.597;0.544;3644;14.408365;2458379.522428;0.03948;2.34;PC
293689267;[6,7];97.96210;-43.53490;9.529;7.852;7.308;7.054;23.832;0.621;0.581;3851;14.833526;2458485.047682;0.03925;2.10;PC
200593988;[6];85.33540;11.19460;12.271;10.919;10.347;10.108;70.931;0.522;0.467;3594;7.712675;2458486.261970;0.07990;4.06;PC
78740218;[6,7];103.11190;-22.31010;11.802;10.438;9.792;9.539;58.437;0.547;0.490;3448;2.560154;2458472.196834;0.07669;4.11;PC
293689267;[6,7];97.96210;-43.53490;9.529;7.852;7.308;7.054;23.832;0.621;0.581;3851;14.833526;2458485.047682;0.03938;2.91;PC
238027971;[2,6,7,8,9];103.33130;-53.11940;10.432;9.195;8.554;8.318;38.664;0.597;0.544;3644;14.408365;2458379.522428;0.03934;2.34;PC
191672086;[8,9];135.87590;-39.29510;13.624;12.163;11.619;11.363;103.940;0.445;0.406;3470;2.683393;2458522.498988;0.12509;5.55;PC
155884454;[7,8];123.99650;-26.22120;11.829;10.829;10.244;9.981;72.653;0.553;0.495;3661;0.980582;2458497.796724;0.08801;4.76;PC
272086159;[2,3,4,5,6,7,8,9];115.00340;-72.20770;13.404;11.765;11.265;10.999;65.952;0.326;0.323;3233;8.077612;2458540.752570;0.33789;11.95;pPC
296739893;[8];142.17330;-12.16550;10.097;8.837;8.201;7.954;33.023;0.599;0.547;3586;5.097455;2458523.107918;0.05874;3.50;PC
155884449;[7,8];123.99570;-26.22270;13.029;11.501;10.897;10.658;72.265;0.426;0.392;3458;0.981746;2458508.582062;0.15503;6.61;PC
129268651;[7,8];118.76780;-28.82980;14.117;12.366;11.792;11.578;56.927;0.194;0.228;3362;5.965288;2458526.254106;0.21751;5.41;PC
275083922;[9];149.44010;-54.16500;11.091;9.663;9.100;8.856;43.219;0.552;0.495;3690;7.403684;2458565.690833;0.04498;2.44;PC
238027971;[2,6,7,8,9];103.33130;-53.11940;10.432;9.195;8.554;8.318;38.664;0.597;0.544;3644;14.408365;2458379.522428;0.03955;2.34;pPC
181804752;[9];165.69150;-16.40620;13.508;11.559;10.993;10.644;26.492;0.135;0.171;2930;4.990520;2458551.496420;0.12283;2.31;PC
191672086;[8,9];135.87590;-39.29510;13.624;12.163;11.619;11.363;103.940;0.445;0.406;3470;2.683393;2458522.498988;0.12475;5.51;pPC
36724087;[9];154.64640;-11.71670;10.534;9.007;8.439;8.204;21.981;0.400;0.374;3312;12.255163;2458559.101717;0.05306;2.17;pPC
296859112;[9];158.34540;-15.30930;12.962;11.394;10.774;10.538;69.627;0.433;0.397;3314;50.371566;2458558.985214;0.13825;6.23;ST
296940429;[9];158.89840;-15.42610;11.792;10.568;9.999;9.786;69.313;0.568;0.510;3784;42.746754;2458563.439175;0.06390;3.57;ST
